Date,Price
"Jan 19, 2015",1.999
"Jan 26, 2015",1.982
"Feb 02, 2015",2.013
"Feb 09, 2015",2.133
"Feb 16, 2015",2.206
"Feb 23, 2015",2.256
"Mar 02, 2015",2.36
"Mar 09, 2015",2.367
"Mar 16, 2015",2.339
"Mar 23, 2015",2.347
"Mar 30, 2015",2.348
